# GHS Optimization
# Hugo Andres Dorado, Reserach at CIAT and master student Unicauca

"iter"	"Cultivar"	"Seed_treatment"	"Tillage_type"	"Numb_weeding"	"Numb_postHarv_herb"	"Numb_rastreo"	"Numb_preSow_herb"	"Numb_fertilizations"	"Numb_applic_foliar"	"Numb_applic_biofer"	"Num_postSow_herb"	"Numb_insecticides"	"Total_nitrogen"	"Total_phosphorus"	"Total_potassium"	"fitness"
1	"DEKAL"	"S0"	"LabConvTra"	0	2	1	1	1	0	0	2	1	140.977187741641	59.7960986737162	60.9348871163093	4.26801838095238
2	"OTRAS"	"S0"	"LabCeroMin"	3	0	3	1	1	2	2	3	2	63.04604248886	82.3485572770983	80.0033053499646	3.71583419047619
3	"OTRAS"	"S0"	"AgrCons"	1	2	1	0	2	0	0	0	4	124.373724815445	29.7828506724909	132.454857474659	3.65944952380953
4	"CRIOLLO"	"S0"	"LabCeroMin"	2	2	4	1	1	1	0	1	0	25.04608378198	102.350558496141	60.4122770950198	3.04745904761905
5	"CRIOLLO"	"S0"	"AgrCons"	0	1	0	0	0	1	2	1	0	193.952492548469	60.9435855906643	125.444208062254	2.88704338095238
6	"DEKAL"	"S0"	"LabCeroMin"	3	2	1	1	3	0	0	2	0	193.952492548469	129.003508452205	60.4122770950198	4.39379171428572
7	"DEKAL"	"S0"	"LabCeroMin"	3	2	1	1	3	0	0	2	0	193.952492548469	129.003508452205	60.4122770950198	4.39379171428572
8	"DEKAL"	"S0"	"LabCeroMin"	3	2	1	1	3	0	0	2	0	193.952492548469	129.003508452205	60.4122770950198	4.39379171428572
9	"DEKAL"	"S0"	"LabCeroMin"	3	2	1	1	3	0	0	2	0	193.952492548469	129.003508452205	60.4122770950198	4.39379171428572
10	"DEKAL"	"S0"	"AgrCons"	3	2	1	1	1	0	2	2	0	193.952492548469	129.003508452205	145.127267867792	4.40040438095238
11	"DEKAL"	"S0"	"AgrCons"	3	2	1	1	1	0	2	2	0	193.952492548469	129.003508452205	145.127267867792	4.40040438095238
12	"P4082W"	"S0"	"LabCeroMin"	3	0	3	1	3	2	2	2	0	193.952492548469	129.003508452205	60.4122770950198	4.40676838095238
13	"P4082W"	"S0"	"LabCeroMin"	3	0	3	1	3	2	2	2	0	193.952492548469	129.003508452205	60.4122770950198	4.40676838095238
14	"P4082W"	"S0"	"LabCeroMin"	3	0	3	1	3	2	2	2	0	193.952492548469	129.003508452205	60.4122770950198	4.40676838095238
15	"P4082W"	"S1"	"LabCeroMin"	0	2	3	1	1	2	2	2	0	193.952492548469	129.003508452205	145.127267867792	4.62913871428571
16	"DEKAL"	"S1"	"LabCeroMin"	3	2	1	1	1	1	2	2	2	193.952492548469	129.003508452205	60.4122770950198	4.72110671428571
17	"DEKAL"	"S1"	"LabCeroMin"	3	2	1	1	1	1	2	2	2	193.952492548469	129.003508452205	60.4122770950198	4.72110671428571
18	"DEKAL"	"S1"	"LabCeroMin"	0	2	1	1	1	2	2	2	0	193.952492548469	129.003508452205	60.4122770950198	4.75219471428571
19	"DEKAL"	"S1"	"LabCeroMin"	0	2	1	1	1	2	2	2	0	193.952492548469	129.003508452205	60.4122770950198	4.75219471428571
20	"DEKAL"	"S1"	"LabCeroMin"	0	2	1	1	1	2	2	2	0	193.952492548469	129.003508452205	60.4122770950198	4.75219471428571
21	"DEKAL"	"S1"	"LabCeroMin"	0	2	1	1	1	2	2	2	0	193.952492548469	129.003508452205	60.4122770950198	4.75219471428571
22	"DEKAL"	"S1"	"LabCeroMin"	0	2	1	1	1	2	2	2	0	193.952492548469	129.003508452205	60.4122770950198	4.75219471428571
23	"DEKAL"	"S1"	"LabCeroMin"	0	2	1	1	1	2	2	2	0	193.952492548469	129.003508452205	60.4122770950198	4.75219471428571
24	"DEKAL"	"S1"	"LabCeroMin"	0	2	1	1	1	2	2	2	0	193.952492548469	129.003508452205	60.4122770950198	4.75219471428571
25	"DEKAL"	"S1"	"LabCeroMin"	0	2	1	1	1	2	2	2	0	193.952492548469	129.003508452205	60.4122770950198	4.75219471428571
26	"DEKAL"	"S1"	"LabCeroMin"	0	2	1	1	1	2	2	2	0	193.952492548469	129.003508452205	60.4122770950198	4.75219471428571
27	"DEKAL"	"S1"	"LabCeroMin"	0	2	1	1	1	2	2	2	0	193.952492548469	129.003508452205	60.4122770950198	4.75219471428571
28	"DEKAL"	"S1"	"LabCeroMin"	0	2	1	1	1	2	2	2	0	193.952492548469	129.003508452205	60.4122770950198	4.75219471428571
29	"DEKAL"	"S1"	"LabCeroMin"	0	2	1	1	1	2	2	2	2	193.952492548469	129.003508452205	60.4122770950198	4.79534838095238
30	"DEKAL"	"S1"	"LabCeroMin"	0	2	1	1	1	2	2	2	2	193.952492548469	129.003508452205	60.4122770950198	4.79534838095238
