# GHS Optimization
# Hugo Andres Dorado, Reserach at CIAT and master student Unicauca

"iter"	"Cultivar"	"Seed_treatment"	"Tillage_type"	"Numb_weeding"	"Numb_postHarv_herb"	"Numb_rastreo"	"Numb_preSow_herb"	"Numb_fertilizations"	"Numb_applic_foliar"	"Numb_applic_biofer"	"Num_postSow_herb"	"Numb_insecticides"	"Total_nitrogen"	"Total_phosphorus"	"Total_potassium"	"fitness"
1	"P4082W"	"S1"	"LabConvTra"	1	1	4	2	1	1	2	3	3	227.430932662934	82.5880207519745	39.7336716530845	5.200994
2	"P4082W"	"S0"	"LabConvTra"	2	2	3	1	3	0	3	3	4	114.302296982827	168.254808903676	76.1804222711362	5.00775566666667
3	"OTRAS"	"S0"	"LabCeroMin"	3	1	2	0	0	1	1	2	0	196.253051127968	58.1729970500199	14.2594082630239	4.13459016666667
4	"CRIOLLO"	"S0"	"LabCeroMin"	0	2	2	2	1	1	3	2	3	168.693826937675	102.492840665593	37.8399843466468	3.90017330952381
5	"CRIOLLO"	"S0"	"LabCeroMin"	4	1	2	0	2	0	1	1	4	178.32143847378	116.950118955011	148.988711962011	3.73998264285714
6	"P4082W"	"S1"	"LabConvTra"	1	1	4	2	1	1	2	3	3	227.430932662934	82.5880207519745	39.7336716530845	5.200994
7	"P4082W"	"S1"	"LabConvTra"	1	1	4	2	1	1	2	3	3	227.430932662934	82.5880207519745	39.7336716530845	5.200994
8	"P4082W"	"S1"	"LabConvTra"	1	1	4	2	1	1	2	3	3	227.430932662934	82.5880207519745	39.7336716530845	5.200994
9	"P4082W"	"S1"	"LabConvTra"	1	1	4	2	1	1	2	3	3	227.430932662934	82.5880207519745	39.7336716530845	5.200994
10	"P4082W"	"S1"	"LabConvTra"	2	2	3	2	3	0	3	3	4	227.430932662934	82.5880207519745	39.7336716530845	5.414027
11	"P4082W"	"S1"	"LabConvTra"	2	2	3	2	3	0	3	3	4	227.430932662934	82.5880207519745	39.7336716530845	5.414027
12	"P4082W"	"S1"	"LabConvTra"	2	2	3	2	3	0	3	3	4	227.430932662934	82.5880207519745	39.7336716530845	5.414027
13	"P4082W"	"S1"	"LabConvTra"	2	2	3	2	3	0	2	3	4	227.430932662934	145.146755535924	39.7336716530845	5.437767
14	"P4082W"	"S1"	"LabConvTra"	2	2	3	2	3	0	2	3	4	227.430932662934	145.146755535924	39.7336716530845	5.437767
15	"P4082W"	"S1"	"LabConvTra"	2	2	3	2	3	0	2	3	4	227.430932662934	145.146755535924	39.7336716530845	5.437767
16	"P4082W"	"S1"	"LabConvTra"	2	2	3	2	3	0	2	3	4	227.430932662934	145.146755535924	39.7336716530845	5.437767
17	"P4082W"	"S1"	"LabConvTra"	2	2	3	2	3	0	2	3	4	227.430932662934	145.146755535924	39.7336716530845	5.437767
18	"P4082W"	"S1"	"LabConvTra"	2	2	3	2	3	0	2	3	4	227.430932662934	145.146755535924	39.7336716530845	5.437767
19	"P4082W"	"S1"	"LabConvTra"	2	2	3	2	3	0	2	3	4	227.430932662934	145.146755535924	39.7336716530845	5.437767
20	"P4082W"	"S1"	"LabConvTra"	2	2	3	2	3	0	2	3	4	227.430932662934	145.146755535924	39.7336716530845	5.437767
21	"P4082W"	"S1"	"LabConvTra"	2	2	3	2	3	0	2	3	4	227.430932662934	145.146755535924	39.7336716530845	5.437767
22	"P4082W"	"S1"	"LabConvTra"	2	2	3	2	3	0	2	3	4	227.430932662934	145.146755535924	39.7336716530845	5.437767
23	"P4082W"	"S1"	"LabConvTra"	2	2	3	2	3	0	2	3	4	227.430932662934	145.146755535924	39.7336716530845	5.437767
24	"P4082W"	"S1"	"LabConvTra"	2	2	3	2	3	0	2	3	4	227.430932662934	145.146755535924	39.7336716530845	5.437767
25	"P4082W"	"S1"	"LabConvTra"	2	2	3	2	3	0	2	3	4	227.430932662934	145.146755535924	39.7336716530845	5.437767
26	"P4082W"	"S1"	"LabConvTra"	2	2	3	2	3	0	2	3	4	227.430932662934	145.146755535924	39.7336716530845	5.437767
27	"P4082W"	"S1"	"LabConvTra"	2	2	3	2	3	0	2	3	4	227.430932662934	145.146755535924	39.7336716530845	5.437767
28	"P4082W"	"S1"	"LabConvTra"	2	2	3	2	3	0	2	3	4	227.430932662934	145.146755535924	39.7336716530845	5.437767
29	"P4082W"	"S1"	"LabConvTra"	2	2	3	2	3	0	2	3	4	227.430932662934	145.146755535924	39.7336716530845	5.437767
30	"P4082W"	"S1"	"LabConvTra"	2	2	3	2	3	0	2	3	4	227.430932662934	145.146755535924	39.7336716530845	5.437767
