# GHS Optimization
# Hugo Andres Dorado, Reserach at CIAT and master student Unicauca

"iter"	"Cultivar"	"Seed_treatment"	"Tillage_type"	"Numb_weeding"	"Numb_postHarv_herb"	"Numb_rastreo"	"Numb_preSow_herb"	"Numb_fertilizations"	"Numb_applic_foliar"	"Numb_applic_biofer"	"Num_postSow_herb"	"Numb_insecticides"	"Total_nitrogen"	"Total_phosphorus"	"Total_potassium"	"fitness"
1	"DEKAL"	"S0"	"LabCeroMin"	3	1	3	0	1	2	3	2	3	87.2092891778145	139.279054039409	0.12683073291555	4.86185066666667
2	"OTRAS"	"S1"	"AgrCons"	4	0	3	0	2	1	1	2	4	13.5966239883564	10.7243871772289	39.0140529954806	4.33617780952381
3	"OTRAS"	"S0"	"LabCeroMin"	0	0	3	1	2	1	3	3	1	14.3490340590943	160.318263212787	47.1825853572227	4.069722
4	"CRIOLLO"	"S1"	"AgrCons"	4	2	1	0	0	1	1	2	3	252.337459918447	65.852328557265	65.4453633469529	4.00334647619048
5	"CRIOLLO"	"S1"	"LabCeroMin"	4	0	1	1	1	0	3	2	2	63.9913338173274	118.051585621606	146.58254905371	3.79926414285714
6	"DEKAL"	"S0"	"LabCeroMin"	3	0	3	0	1	2	1	2	3	131.412788103092	22.8020103231026	146.58254905371	4.914343
7	"DEKAL"	"S0"	"LabCeroMin"	3	0	3	0	1	2	1	2	3	131.412788103092	22.8020103231026	146.58254905371	4.914343
8	"DEKAL"	"S0"	"LabCeroMin"	3	0	3	0	1	2	1	2	3	131.412788103092	22.8020103231026	146.58254905371	4.914343
9	"DEKAL"	"S1"	"AgrCons"	0	0	4	2	1	2	1	2	3	131.412788103092	22.8020103231026	146.58254905371	5.053937
10	"DEKAL"	"S1"	"AgrCons"	3	0	3	0	3	2	3	2	3	87.2092891778145	154.585103955362	146.58254905371	5.07463966666667
11	"DEKAL"	"S1"	"AgrCons"	3	0	3	0	3	2	3	2	3	87.2092891778145	154.585103955362	146.58254905371	5.07463966666667
12	"DEKAL"	"S1"	"AgrCons"	3	0	3	0	3	2	3	2	3	131.412788103092	22.8020103231026	146.58254905371	5.14334566666667
13	"DEKAL"	"S1"	"AgrCons"	3	0	3	0	3	2	3	2	3	131.412788103092	22.8020103231026	146.58254905371	5.14334566666667
14	"DEKAL"	"S1"	"LabCeroMin"	3	2	3	2	2	2	0	2	3	87.2092891778145	22.8020103231026	146.58254905371	5.27942133333333
15	"DEKAL"	"S1"	"LabCeroMin"	3	2	3	2	2	2	0	2	3	87.2092891778145	22.8020103231026	146.58254905371	5.27942133333333
16	"DEKAL"	"S1"	"LabCeroMin"	3	0	0	2	2	2	0	2	3	131.412788103092	22.8020103231026	146.58254905371	5.29478633333334
17	"DEKAL"	"S1"	"LabCeroMin"	3	0	0	2	2	2	0	2	3	131.412788103092	22.8020103231026	146.58254905371	5.29478633333334
18	"DEKAL"	"S1"	"LabCeroMin"	3	0	0	2	2	2	0	2	3	131.412788103092	22.8020103231026	146.58254905371	5.29478633333334
19	"DEKAL"	"S1"	"LabCeroMin"	3	0	0	2	2	2	0	2	3	131.412788103092	22.8020103231026	146.58254905371	5.29478633333334
20	"DEKAL"	"S1"	"LabCeroMin"	3	0	0	2	2	2	0	2	3	131.412788103092	22.8020103231026	146.58254905371	5.29478633333334
21	"DEKAL"	"S1"	"LabCeroMin"	3	0	0	2	2	2	0	2	3	131.412788103092	22.8020103231026	146.58254905371	5.29478633333334
22	"DEKAL"	"S1"	"LabCeroMin"	3	0	0	2	2	2	0	2	3	131.412788103092	22.8020103231026	146.58254905371	5.29478633333334
23	"DEKAL"	"S1"	"LabCeroMin"	3	2	0	2	2	2	0	2	4	131.412788103092	22.8020103231026	146.58254905371	5.36473366666667
24	"DEKAL"	"S1"	"LabCeroMin"	3	2	0	2	2	2	0	2	4	131.412788103092	22.8020103231026	146.58254905371	5.36473366666667
25	"DEKAL"	"S0"	"LabCeroMin"	2	2	0	2	2	2	0	2	4	131.412788103092	22.8020103231026	146.58254905371	5.402851
26	"DEKAL"	"S0"	"LabCeroMin"	2	2	0	2	2	2	0	2	4	131.412788103092	22.8020103231026	146.58254905371	5.402851
27	"DEKAL"	"S0"	"LabCeroMin"	2	2	0	2	2	2	0	2	4	131.412788103092	22.8020103231026	146.58254905371	5.402851
28	"DEKAL"	"S0"	"LabCeroMin"	2	2	0	2	2	2	0	2	4	131.412788103092	22.8020103231026	146.58254905371	5.402851
29	"DEKAL"	"S0"	"LabCeroMin"	2	2	0	2	2	2	0	2	4	131.412788103092	22.8020103231026	146.58254905371	5.402851
30	"DEKAL"	"S0"	"LabCeroMin"	2	2	0	2	2	2	0	2	4	131.412788103092	22.8020103231026	146.58254905371	5.402851
