# GHS Optimization
# Hugo Andres Dorado, Reserach at CIAT and master student Unicauca

"iter"	"Cultivar"	"Seed_treatment"	"Tillage_type"	"Numb_weeding"	"Numb_postHarv_herb"	"Numb_rastreo"	"Numb_preSow_herb"	"Numb_fertilizations"	"Numb_applic_foliar"	"Numb_applic_biofer"	"Num_postSow_herb"	"Numb_insecticides"	"Total_nitrogen"	"Total_phosphorus"	"Total_potassium"	"fitness"
1	"P4082W"	"S1"	"LabConvTra"	3	1	3	2	1	0	0	3	2	208.884008101504	106.622641306599	137.2634900501	4.548683
2	"P4082W"	"S1"	"AgrCons"	1	1	3	1	0	0	2	2	1	56.7499409011006	146.557574314331	124.42009197548	4.44515066666667
3	"OTRAS"	"S0"	"AgrCons"	1	0	3	1	1	0	1	0	2	155.656586951576	55.8356840085192	113.870756642427	4.30818580952381
4	"OTRAS"	"S1"	"LabConvTra"	4	0	2	1	0	0	2	1	2	246.440374862403	101.123129671882	74.2760478286073	4.16827714285714
5	"CRIOLLO"	"S1"	"AgrCons"	2	0	1	1	1	0	3	0	2	53.0725821953733	134.003796407669	142.533853696659	3.63108747619047
6	"P4082W"	"S1"	"LabConvTra"	3	1	3	2	1	0	0	3	2	208.884008101504	106.622641306599	137.2634900501	4.548683
7	"P4082W"	"S1"	"LabConvTra"	1	0	3	1	1	0	2	3	2	246.440374862403	166.534181938344	52.7757471660152	4.571004
8	"P4082W"	"S1"	"LabConvTra"	1	0	3	1	1	0	2	3	2	246.440374862403	166.534181938344	52.7757471660152	4.571004
9	"P4082W"	"S1"	"LabConvTra"	1	0	3	1	1	0	2	3	2	246.440374862403	166.534181938344	52.7757471660152	4.571004
10	"P4082W"	"S0"	"LabCeroMin"	4	0	3	0	0	0	2	2	2	246.440374862403	106.622641306599	52.7757471660152	4.589885
11	"P4082W"	"S0"	"LabCeroMin"	4	0	3	0	0	0	2	2	2	246.440374862403	106.622641306599	52.7757471660152	4.589885
12	"P4082W"	"S1"	"LabCeroMin"	1	1	3	2	1	0	1	2	2	246.440374862403	106.622641306599	58.7486163829453	4.61963466666667
13	"P4082W"	"S1"	"LabCeroMin"	1	1	3	2	1	0	1	2	2	246.440374862403	106.622641306599	58.7486163829453	4.61963466666667
14	"P4082W"	"S1"	"LabCeroMin"	1	1	3	2	1	0	1	2	2	246.440374862403	106.622641306599	58.7486163829453	4.61963466666667
15	"P4082W"	"S1"	"LabCeroMin"	1	1	3	2	1	0	1	2	2	246.440374862403	106.622641306599	58.7486163829453	4.61963466666667
16	"P4082W"	"S1"	"LabCeroMin"	1	1	3	2	1	0	1	2	2	246.440374862403	106.622641306599	58.7486163829453	4.61963466666667
17	"P4082W"	"S1"	"LabCeroMin"	1	1	3	2	1	0	1	2	2	246.440374862403	106.622641306599	58.7486163829453	4.61963466666667
18	"P4082W"	"S1"	"LabCeroMin"	1	1	3	2	1	0	1	2	2	246.440374862403	106.622641306599	58.7486163829453	4.61963466666667
19	"P4082W"	"S1"	"LabCeroMin"	1	1	3	2	1	0	1	2	2	246.440374862403	106.622641306599	58.7486163829453	4.61963466666667
20	"P4082W"	"S1"	"LabCeroMin"	1	1	3	2	1	0	1	2	2	246.440374862403	106.622641306599	58.7486163829453	4.61963466666667
21	"P4082W"	"S1"	"LabCeroMin"	1	1	3	2	1	0	1	2	2	246.440374862403	106.622641306599	58.7486163829453	4.61963466666667
22	"P4082W"	"S1"	"LabCeroMin"	1	1	3	2	1	0	1	2	2	246.440374862403	106.622641306599	58.7486163829453	4.61963466666667
23	"P4082W"	"S1"	"LabCeroMin"	1	1	3	2	1	0	1	2	2	246.440374862403	106.622641306599	58.7486163829453	4.61963466666667
24	"P4082W"	"S1"	"LabCeroMin"	1	1	3	2	1	0	1	2	2	246.440374862403	106.622641306599	58.7486163829453	4.61963466666667
25	"P4082W"	"S1"	"LabCeroMin"	1	1	3	2	1	0	1	2	2	246.440374862403	106.622641306599	58.7486163829453	4.61963466666667
26	"P4082W"	"S1"	"LabCeroMin"	1	1	3	2	1	1	3	2	1	246.440374862403	106.622641306599	58.7486163829453	4.645014
27	"P4082W"	"S1"	"LabCeroMin"	1	1	3	2	1	1	3	2	1	246.440374862403	106.622641306599	58.7486163829453	4.645014
28	"P4082W"	"S1"	"LabCeroMin"	1	1	3	2	1	1	3	2	1	246.440374862403	106.622641306599	58.7486163829453	4.645014
29	"P4082W"	"S1"	"LabCeroMin"	1	1	3	2	1	1	3	2	1	246.440374862403	106.622641306599	58.7486163829453	4.645014
30	"P4082W"	"S1"	"LabCeroMin"	1	1	3	2	1	1	3	2	1	246.440374862403	106.622641306599	58.7486163829453	4.645014
